COUNTRY,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,yearToDate,share,periodo_id
Chile,November 2011,2011,11,November,Combustible renewables,499.872,4414.735,0.0926967073486885,23
Chile,December 2011,2011,12,December,Hydro,2207.336,20937.001,0.3766593439446253,24
Chile,December 2011,2011,12,December,Wind,22.749,338.001,0.0038818845048494,24
Chile,December 2011,2011,12,December,Coal,1640.531,18534.705,0.2799398597136187,24
Chile,December 2011,2011,12,December,Oil,603.887,6003.775,0.10304714879687,24
Chile,December 2011,2011,12,December,Natural gas,796.396,12960.784,0.1358968434710999,24
Chile,December 2011,2011,12,December,Combustible renewables,589.399,4414.735,0.1005749195689366,24
Chile,January 2012,2012,1,January,Hydro,1909.02,19976.999,0.3465850024854368,25
Chile,January 2012,2012,1,January,Wind,27.048,409.0,0.0049105987088799,25
Chile,January 2012,2012,1,January,Coal,1791.947,23415.5,0.3253302508348635,25
Chile,January 2012,2012,1,January,Oil,344.075,5678.054,0.0624672526899543,25
Chile,January 2012,2012,1,January,Natural gas,1181.571,11874.561,0.2145157138069376,25
Chile,January 2012,2012,1,January,Combustible renewables,254.425,4485.884,0.0461911814739276,25
Chile,February 2012,2012,2,February,Hydro,1656.485,19976.999,0.3146356575365466,26
Chile,February 2012,2012,2,February,Wind,37.028,409.0,0.0070331630695498,26
Chile,February 2012,2012,2,February,Coal,1811.879,23415.5,0.344151465628521,26
Chile,February 2012,2012,2,February,Oil,481.755,5678.054,0.0915053871278756,26
Chile,February 2012,2012,2,February,Natural gas,1026.986,11874.561,0.1950675166939803,26
Chile,February 2012,2012,2,February,Combustible renewables,250.64,4485.884,0.0476069998852751,26
Chile,March 2012,2012,3,March,Hydro,1678.313,19976.999,0.2968387090384148,27
Chile,March 2012,2012,3,March,Wind,29.422,409.0,0.0052037900542558,27
Chile,March 2012,2012,3,March,Coal,1975.331,23415.5,0.3493714843200053,27
Chile,March 2012,2012,3,March,Oil,566.26,5678.054,0.1001528841045101,27
Chile,March 2012,2012,3,March,Natural gas,1138.842,11874.561,0.2014239233556115,27
Chile,March 2012,2012,3,March,Combustible renewables,265.788,4485.884,0.0470092091272022,27
Chile,April 2012,2012,4,April,Hydro,1169.701,19976.999,0.2174701422692656,28
Chile,April 2012,2012,4,April,Wind,15.325,409.0,0.0028492152526812,28
Chile,April 2012,2012,4,April,Coal,1706.285,23415.5,0.3172315332738143,28
Chile,April 2012,2012,4,April,Oil,904.071,5678.054,0.1680843642875548,28
Chile,April 2012,2012,4,April,Natural gas,1238.689,11874.561,0.2302963518517761,28
Chile,April 2012,2012,4,April,Combustible renewables,344.603,4485.884,0.0640683930649078,28
Chile,May 2012,2012,5,May,Hydro,1153.162,19976.999,0.2023264092914605,29
Chile,May 2012,2012,5,May,Wind,36.314,409.0,0.006371421558298,29
Chile,May 2012,2012,5,May,Coal,1962.115,23415.5,0.3442601148554271,29
Chile,May 2012,2012,5,May,Oil,1013.844,5678.054,0.177882566457871,29
Chile,May 2012,2012,5,May,Natural gas,1118.288,11874.561,0.1962076408984416,29
Chile,May 2012,2012,5,May,Combustible renewables,415.79,4485.884,0.0729518469385016,29
Chile,June 2012,2012,6,June,Hydro,2048.801,19976.999,0.374612757415868,30
Chile,June 2012,2012,6,June,Wind,36.709,409.0,0.0067120524208935,30
Chile,June 2012,2012,6,June,Coal,1870.361,23415.5,0.3419859183849971,30
Chile,June 2012,2012,6,June,Oil,383.911,5678.054,0.0701961578075583,30
Chile,June 2012,2012,6,June,Natural gas,742.616,11874.561,0.1357835277614283,30
Chile,June 2012,2012,6,June,Combustible renewables,386.719,4485.884,0.0707095862092546,30
Chile,July 2012,2012,7,July,Hydro,2349.024,19976.999,0.4285666589492616,31
Chile,July 2012,2012,7,July,Wind,42.709,409.0,0.007792024873762,31
Chile,July 2012,2012,7,July,Coal,1774.551,23415.5,0.323757183070531,31
Chile,July 2012,2012,7,July,Oil,199.35,5678.054,0.0363703237861917,31
Chile,July 2012,2012,7,July,Natural gas,703.948,11874.561,0.1284314857719694,31
Chile,July 2012,2012,7,July,Combustible renewables,411.535,4485.884,0.075082323548284,31
Chile,August 2012,2012,8,August,Hydro,1731.271,19976.999,0.3101949102313537,32
Chile,August 2012,2012,8,August,Wind,32.116,409.0,0.0057542809513878,32
Chile,August 2012,2012,8,August,Coal,2063.967,23415.5,0.3698046454226268,32
Chile,August 2012,2012,8,August,Oil,278.56,5678.054,0.0499100915997818,32
Chile,August 2012,2012,8,August,Natural gas,1060.124,11874.561,0.1899443062432766,32
Chile,August 2012,2012,8,August,Combustible renewables,415.198,4485.884,0.0743917655515731,32
Chile,September 2012,2012,9,September,Hydro,1522.577,19976.999,0.2967308443373171,33
Chile,September 2012,2012,9,September,Wind,36.031,409.0,0.0070219825022431,33
Chile,September 2012,2012,9,September,Coal,2046.672,23415.5,0.3988702775896033,33
Chile,September 2012,2012,9,September,Oil,189.519,5678.054,0.0369348367195642,33
Chile,September 2012,2012,9,September,Natural gas,918.123,11874.561,0.1789304665678718,33
Chile,September 2012,2012,9,September,Combustible renewables,418.249,4485.884,0.0815113973961504,33
Chile,October 2012,2012,10,October,Hydro,1658.147,19976.999,0.2973774637278287,34
Chile,October 2012,2012,10,October,Wind,35.272,409.0,0.0063257949389336,34
Chile,October 2012,2012,10,October,Coal,2072.005,23415.5,0.3716001004322172,34
Chile,October 2012,2012,10,October,Oil,374.706,5678.054,0.0672009899747126,34
Chile,October 2012,2012,10,October,Natural gas,992.903,11874.561,0.1780704460266504,34
Chile,October 2012,2012,10,October,Combustible renewables,442.866,4485.884,0.0794250255564124,34
Chile,November 2012,2012,11,November,Hydro,1566.059,19976.999,0.2855002337148853,35
Chile,November 2012,2012,11,November,Wind,32.724,409.0,0.0059657456379905,35
Chile,November 2012,2012,11,November,Coal,2135.813,23415.5,0.3893691812832661,35
Chile,November 2012,2012,11,November,Oil,560.753,5678.054,0.102228021138618,35
Chile,November 2012,2012,11,November,Natural gas,790.792,11874.561,0.1441652586651343,35
Chile,November 2012,2012,11,November,Combustible renewables,399.174,4485.884,0.0727713772552028,35
Chile,December 2012,2012,12,December,Hydro,1534.439,19976.999,0.2734629195737552,36
Chile,December 2012,2012,12,December,Wind,48.302,409.0,0.0086082313739754,36
Chile,December 2012,2012,12,December,Coal,2204.574,23415.5,0.3928922834054607,36
Chile,December 2012,2012,12,December,Oil,381.25,5678.054,0.0679451826286311,36
Chile,December 2012,2012,12,December,Natural gas,961.679,11874.561,0.1713874236986737,36
Chile,December 2012,2012,12,December,Combustible renewables,480.897,4485.884,0.0857039593195038,36
Chile,January 2013,2013,1,January,Hydro,1758.742,19678.001,0.3001144322124801,37
Chile,January 2013,2013,1,January,Wind,15.387,553.0,0.0026256612786033,37
Chile,January 2013,2013,1,January,Coal,2268.113,28360.618,0.3870342808602653,37
Chile,January 2013,2013,1,January,Oil,271.462,5113.074,0.0463226920135325,37
Chile,January 2013,2013,1,January,Natural gas,1116.238,10463.458,0.190476564262407,37
Chile,January 2013,2013,1,January,Combustible renewables,416.629,5403.854,0.0710942115320231,37
Chile,February 2013,2013,2,February,Hydro,1441.08,19678.001,0.2707448357491099,38
Chile,February 2013,2013,2,February,Wind,33.852,553.0,0.0063599898546776,38
Chile,February 2013,2013,2,February,Coal,2228.558,28360.618,0.4186933200567387,38
Chile,February 2013,2013,2,February,Oil,187.655,5113.074,0.0352559345438832,38
Chile,February 2013,2013,2,February,Natural gas,1025.155,10463.458,0.1926023691206448,38
Chile,February 2013,2013,2,February,Combustible renewables,392.685,5403.854,0.0737762204916723,38
Chile,March 2013,2013,3,March,Hydro,1325.596,19678.001,0.2257304161755335,39
Chile,March 2013,2013,3,March,Wind,40.446,553.0,0.0068873868151651,39
Chile,March 2013,2013,3,March,Solar,0.527,8.0,8.974071234713002e-05,39
Chile,March 2013,2013,3,March,Coal,2553.965,28360.618,0.4349044372099391,39
Chile,March 2013,2013,3,March,Oil,331.001,5113.074,0.0563648302231733,39
Chile,March 2013,2013,3,March,Natural gas,1125.96,10463.458,0.1917352039361945,39
Chile,March 2013,2013,3,March,Combustible renewables,481.312,5403.854,0.0819606864159807,39
Chile,April 2013,2013,4,April,Hydro,1302.255,19678.001,0.2364204242498072,40
Chile,April 2013,2013,4,April,Wind,38.015,553.0,0.0069015073298673,40
Chile,April 2013,2013,4,April,Solar,0.477,8.0,8.65978954714384e-05,40
Chile,April 2013,2013,4,April,Coal,2357.513,28360.618,0.4279992963240192,40
Chile,April 2013,2013,4,April,Oil,324.907,5113.074,0.0589858751025967,40
Chile,April 2013,2013,4,April,Natural gas,1043.474,10463.458,0.1894395228074711,40
Chile,April 2013,2013,4,April,Combustible renewables,427.91,5403.854,0.0776857556628578,40
Chile,May 2013,2013,5,May,Hydro,1236.982,19678.001,0.2059314789241796,41
Chile,May 2013,2013,5,May,Wind,45.134,553.0,0.0075138614545433,41
Chile,May 2013,2013,5,May,Solar,0.426,8.0,7.092003765754111e-05,41
Chile,May 2013,2013,5,May,Coal,2424.516,28360.618,0.4036309061533121,41
Chile,May 2013,2013,5,May,Oil,745.121,5113.074,0.1240469703742363,41
Chile,May 2013,2013,5,May,Natural gas,1007.169,10463.458,0.1676724493133991,41
Chile,May 2013,2013,5,May,Combustible renewables,533.751,5403.854,0.0888583122529348,41
Chile,June 2013,2013,6,June,Hydro,1325.69,19678.001,0.2189711334835437,42
Chile,June 2013,2013,6,June,Wind,34.328,553.0,0.0056701348506989,42
Chile,June 2013,2013,6,June,Solar,0.347,8.0,5.73158003143945e-05,42
Chile,June 2013,2013,6,June,Coal,2547.113,28360.618,0.4207199426115225,42
Chile,June 2013,2013,6,June,Oil,948.947,5113.074,0.1567425266885986,42
Chile,June 2013,2013,6,June,Natural gas,669.989,10463.458,0.1106655784923367,42
Chile,June 2013,2013,6,June,Combustible renewables,514.097,5403.854,0.0849160835568567,42
Chile,July 2013,2013,7,July,Hydro,1727.461,19678.001,0.28113005931612,43
Chile,July 2013,2013,7,July,Wind,50.913,553.0,0.0082856716938684,43
Chile,July 2013,2013,7,July,Solar,0.366,8.0,5.9563487517055336e-05,43
Chile,July 2013,2013,7,July,Coal,2411.114,28360.618,0.3923889580360584,43
Chile,July 2013,2013,7,July,Oil,678.424,5113.074,0.1104079220089364,43
Chile,July 2013,2013,7,July,Natural gas,760.804,10463.458,0.1238145889533491,43
Chile,July 2013,2013,7,July,Combustible renewables,501.955,5403.854,0.0816890447448729,43
Chile,August 2013,2013,8,August,Hydro,1574.875,19678.001,0.2629692976091939,44
Chile,August 2013,2013,8,August,Wind,61.281,553.0,0.0102325718084222,44
Chile,August 2013,2013,8,August,Solar,0.791,8.0,0.0001320795075221,44
Chile,August 2013,2013,8,August,Coal,2526.882,28360.618,0.4219334135606414,44
Chile,August 2013,2013,8,August,Oil,542.062,5113.074,0.0905123666326755,44
Chile,August 2013,2013,8,August,Natural gas,821.31,10463.458,0.1371406072351183,44
Chile,August 2013,2013,8,August,Combustible renewables,447.948,5403.854,0.0747974099058294,44
Chile,September 2013,2013,9,September,Hydro,1906.971,19678.001,0.3519950132973814,45
Chile,September 2013,2013,9,September,Wind,75.363,553.0,0.0139107517561255,45
Chile,September 2013,2013,9,September,Solar,1.028,8.0,0.0001897516394689,45
Chile,September 2013,2013,9,September,Coal,2259.413,28360.618,0.417049923139511,45
Chile,September 2013,2013,9,September,Oil,107.659,5113.074,0.0198720542350055,45
Chile,September 2013,2013,9,September,Natural gas,622.642,10463.458,0.1149293193601309,45
Chile,September 2013,2013,9,September,Combustible renewables,430.865,5403.854,0.0795304865172969,45
Chile,October 2013,2013,10,October,Hydro,1983.631,19678.001,0.3407716925468266,46
Chile,October 2013,2013,10,October,Wind,54.202,553.0,0.0093114633111819,46
Chile,October 2013,2013,10,October,Solar,1.374,8.0,0.0002360420388466,46
Chile,October 2013,2013,10,October,Coal,2374.912,28360.618,0.4079905899281514,46
Chile,October 2013,2013,10,October,Oil,247.326,5113.074,0.0424885977436511,46
Chile,October 2013,2013,10,October,Natural gas,733.994,10463.458,0.1260942068858651,46
Chile,October 2013,2013,10,October,Combustible renewables,411.891,5403.854,0.070759527964024,46
Chile,November 2013,2013,11,November,Hydro,2008.419,19678.001,0.3470179870900993,47
Chile,November 2013,2013,11,November,Wind,61.28,553.0,0.0105880606829955,47
Chile,November 2013,2013,11,November,Solar,1.342,8.0,0.0002318729999441,47
Chile,November 2013,2013,11,November,Coal,2095.688,28360.618,0.3620964705715669,47
Chile,November 2013,2013,11,November,Oil,473.928,5113.074,0.0818860708774596,47
Chile,November 2013,2013,11,November,Natural gas,711.032,10463.458,0.1228532957498646,47
Chile,November 2013,2013,11,November,Combustible renewables,422.297,5403.854,0.0729651805196961,47
Chile,December 2013,2013,12,December,Hydro,2086.299,19678.001,0.350067553690586,48
